地区,日期,期次/发布日期,商品,规格,单位,价格,日变化,日变化率,月变化,月变化率,口径,采价点数,官方环比,来源链接
海南省,2026-07-24,2026年7月24日海南市场价格监测,胡萝卜,黄萝卜，新鲜一级,元/500克,1.6,,,,,官方监测采价点：儋州市—超市—摊位一,1,,https://plan.hainan.gov.cn/sfgw/scrb/202607/086048bc494e4fedbd5a07c4221a1d1a.shtml
海南省,2026-07-24,2026年7月24日海南市场价格监测,胡萝卜,黄萝卜，新鲜一级,元/500克,1.48,,,,,官方监测采价点：琼海市—超市—摊位一,1,,https://plan.hainan.gov.cn/sfgw/scrb/202607/086048bc494e4fedbd5a07c4221a1d1a.shtml
海南省,2026-07-24,2026年7月24日海南市场价格监测,胡萝卜,黄萝卜，新鲜一级,元/500克,1.7,,,,,官方监测采价点：文昌市—超市—摊位一,1,,https://plan.hainan.gov.cn/sfgw/scrb/202607/086048bc494e4fedbd5a07c4221a1d1a.shtml
海南省,2026-07-24,2026年7月24日海南市场价格监测,胡萝卜,黄萝卜，新鲜一级,元/500克,2.3,,,,,官方监测采价点：万宁市—超市—摊位一,1,,https://plan.hainan.gov.cn/sfgw/scrb/202607/086048bc494e4fedbd5a07c4221a1d1a.shtml
海南省,2026-07-24,2026年7月24日海南市场价格监测,胡萝卜,黄萝卜，新鲜一级,元/500克,1.8,,,,,官方监测采价点：五指山市—超市—摊位一,1,,https://plan.hainan.gov.cn/sfgw/scrb/202607/086048bc494e4fedbd5a07c4221a1d1a.shtml
海南省,2026-07-24,2026年7月24日海南市场价格监测,胡萝卜,黄萝卜，新鲜一级,元/500克,1.38,,,,,官方监测采价点：乐东县—超市—摊位一,1,,https://plan.hainan.gov.cn/sfgw/scrb/202607/086048bc494e4fedbd5a07c4221a1d1a.shtml
海南省,2026-07-24,2026年7月24日海南市场价格监测,胡萝卜,黄萝卜，新鲜一级,元/500克,0.98,,,,,官方监测采价点：定安县—超市—摊位一,1,,https://plan.hainan.gov.cn/sfgw/scrb/202607/086048bc494e4fedbd5a07c4221a1d1a.shtml
海南省,2026-07-24,2026年7月24日海南市场价格监测,胡萝卜,黄萝卜，新鲜一级,元/500克,2.68,,,,,官方监测采价点：陵水县—超市—摊位一,1,,https://plan.hainan.gov.cn/sfgw/scrb/202607/086048bc494e4fedbd5a07c4221a1d1a.shtml
海南省,2026-07-24,2026年7月24日海南市场价格监测,胡萝卜,黄萝卜，新鲜一级,元/500克,1.28,,,,,官方监测采价点：琼中县—超市—摊位一,1,,https://plan.hainan.gov.cn/sfgw/scrb/202607/086048bc494e4fedbd5a07c4221a1d1a.shtml
海南省,2026-07-24,2026年7月24日海南市场价格监测,胡萝卜,黄萝卜，新鲜一级,元/500克,1.98,,,,,官方监测采价点：白沙县—超市—摊位一,1,,https://plan.hainan.gov.cn/sfgw/scrb/202607/086048bc494e4fedbd5a07c4221a1d1a.shtml
海南省,2026-07-24,2026年7月24日海南市场价格监测,青椒,青圆椒，新鲜一级,元/500克,5,,,,,官方监测采价点：海口市—农贸市场1—摊位一,1,,https://plan.hainan.gov.cn/sfgw/scrb/202607/086048bc494e4fedbd5a07c4221a1d1a.shtml
海南省,2026-07-24,2026年7月24日海南市场价格监测,青椒,青圆椒，新鲜一级,元/500克,6,,,,,官方监测采价点：海口市—农贸市场1—摊位三,1,,https://plan.hainan.gov.cn/sfgw/scrb/202607/086048bc494e4fedbd5a07c4221a1d1a.shtml
海南省,2026-07-24,2026年7月24日海南市场价格监测,青椒,青圆椒，新鲜一级,元/500克,4,,,,,官方监测采价点：海口市—农贸市场6—摊位一,1,,https://plan.hainan.gov.cn/sfgw/scrb/202607/086048bc494e4fedbd5a07c4221a1d1a.shtml
海南省,2026-07-24,2026年7月24日海南市场价格监测,青椒,青圆椒，新鲜一级,元/500克,3.98,,,,,官方监测采价点：海口市—超市1—摊位一,1,,https://plan.hainan.gov.cn/sfgw/scrb/202607/086048bc494e4fedbd5a07c4221a1d1a.shtml
海南省,2026-07-24,2026年7月24日海南市场价格监测,青椒,青圆椒，新鲜一级,元/500克,4.28,,,,,官方监测采价点：海口市—超市2—摊位一,1,,https://plan.hainan.gov.cn/sfgw/scrb/202607/086048bc494e4fedbd5a07c4221a1d1a.shtml
海南省,2026-07-24,2026年7月24日海南市场价格监测,青椒,青圆椒，新鲜一级,元/500克,7,,,,,官方监测采价点：三亚市—农贸市场2—摊位一,1,,https://plan.hainan.gov.cn/sfgw/scrb/202607/086048bc494e4fedbd5a07c4221a1d1a.shtml
海南省,2026-07-24,2026年7月24日海南市场价格监测,青椒,青圆椒，新鲜一级,元/500克,2.78,,,,,官方监测采价点：三亚市—超市1—摊位一,1,,https://plan.hainan.gov.cn/sfgw/scrb/202607/086048bc494e4fedbd5a07c4221a1d1a.shtml
